Path,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ArrivalNotice,,,,,,,,
"ArrivalNotice / additionalInformation",additionalInformation,string,,500,,"FIRMS code: B986","Free text field to provide additional required information for the consignee to prepare for the shipment arrival,
e.g. additional required documents to prepare and present for shipment release - country specific.",
"ArrivalNotice / arrivalNoticeVisualization","arrivalNoticeVisualization",EmbeddedDocument,,,,,,
"ArrivalNotice / arrivalNoticeVisualization / content",content,string,yes,,,RXhhbXBsZSBBTiBjb250ZW50,"Base64 representation of the binary document content",
"ArrivalNotice / arrivalNoticeVisualization / contentType",contentType,string,,,,application/msword,"Content type of document",
"ArrivalNotice / arrivalNoticeVisualization / name",name,string,yes,,,"20250123 AN XYZ01234.docx","Document name",
"ArrivalNotice / cargoMovementTypeAtDestination","cargoMovementTypeAtDestination",string,yes,,,FCL,"Code indicating whether at destination the unloaded cargo occupies an entire container (FCL)
or shares the container with other shipments (LCL).

 * `FCL` - Full Container Load
 * `LCL` - Less than Container Load",
"ArrivalNotice / carrierClauses",carrierClauses,"string list",,,,,"List of carrier clauses",
"ArrivalNotice / carrierCode",carrierCode,string,yes,4,"^\S+$",HLCU,"Code in the list provided by `carrierCodeListProvider` of the carrier publishing the Arrival Notice","Specifying attribute 'carrierCodeListProvider' requires specifying attribute 'carrierCode'."
"ArrivalNotice / carrierCodeListProvider",carrierCodeListProvider,string,yes,,,NMFTA,"The provider of the code list in which `carrierCode` is defined.
 * `SMDG` - Ship Message Design Group
 * `NMFTA` - National Motor Freight Traffic Association; includes SPLC (Standard Point Location Code)","Specifying attribute 'carrierCodeListProvider' requires specifying attribute 'carrierCode'."
"ArrivalNotice / carrierContactInformation","carrierContactInformation","ContactInformation list",yes,,,,"ATTRIBUTE The party to contact for any inquiries related to this Arrival Notice.",
"ArrivalNotice / carrierContactInformation / email",email,string,,100,"^\S+(\s+\S+)*$",jane.doe@example.com,"Email address","At least one of these attributes is required: 'phone', 'email'."
