Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ActiveReeferSettings,airExchangeSetpoint,string,,,"^\d+(\.\d+)?$",12.3,"Target rate at which outdoor air replaces indoor air","Specifying attribute 'airExchangeSetpoint' requires specifying attribute 'airExchangeUnit'."
ActiveReeferSettings,airExchangeUnit,string,,,,MQH,"Measurement unit in which the `airExchangeSetpoint` is expressed
 * `FQH` - Cubic foot per hour
 * `MQH` - Cubic metre per hour","Specifying attribute 'airExchangeSetpoint' requires specifying attribute 'airExchangeUnit'."
ActiveReeferSettings,co2Setpoint,string,,,"^\d+(\.\d+)?$",12.3,"Target CO2 percentage",
ActiveReeferSettings,humiditySetpoint,string,,,"^\d+(\.\d+)?$",12.3,"Target humidity percentage",
ActiveReeferSettings,isBulbMode,boolean,,,,true,"Flag indicating whether flower bulb handling mode is active",
ActiveReeferSettings,isColdTreatmentRequired,boolean,,,,true,"Flag indicating whether the cargo requires cold treatment prior to loading at origin or during transit,
but prior arrival at POD",
ActiveReeferSettings,"isControlledAtmosphereRequired",boolean,,,,true,"Flag indicating whether the cargo requires controlled atmosphere",
ActiveReeferSettings,isDrainHolesOpen,boolean,,,,true,"Flag indicating whether the drain holes are open",
ActiveReeferSettings,isVentilationOpen,boolean,,,,true,"Flag indicating whether the ventilation orifice is open",
ActiveReeferSettings,o2Setpoint,string,,,"^\d+(\.\d+)?$",12.3,"Target O2 percentage",
ActiveReeferSettings,temperatureSetpoint,string,,,"^-?\d+(\.\d+)?$",-12.3,"Target temperature","Specifying attribute 'temperatureSetpoint' requires specifying attribute 'temperatureUnit'."
ActiveReeferSettings,temperatureUnit,string,,,,CEL,"Measurement unit in which the `temperatureSetpoint` is expressed
 * `CEL` - Celsius
 * `FAH` - Fahrenheit","Specifying attribute 'temperatureSetpoint' requires specifying attribute 'temperatureUnit'."
Address,city,string,,35,,Amsterdam,City,
Address,countryCode,string,,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.",
Address,floor,string,,50,,2nd,Floor,
Address,poBox,string,,20,,12345,"P.O. box",
Address,postCode,string,,10,,"1234 AB","Post code",
Address,stateRegion,string,,65,,"North Holland","State or region",
Address,street,string,,70,,"Example St.",Street,
Address,streetNumber,string,,50,,123,"Street number",
ArrivalNotice,additionalInformation,string,,500,,"FIRMS code: B986","Free text field to provide additional required information for the consignee to prepare for the shipment arrival,
e.g. additional required documents to prepare and present for shipment release - country specific.",
ArrivalNotice,"arrivalNoticeVisualization",EmbeddedDocument,,,,,,
ArrivalNotice,"cargoMovementTypeAtDestination",string,yes,,,FCL,"Code indicating whether at destination the unloaded cargo occupies an entire container (FCL)
or shares the container with other shipments (LCL).

 * `FCL` - Full Container Load
 * `LCL` - Less than Container Load",
ArrivalNotice,carrierClauses,"string list",,,,,"List of carrier clauses",
ArrivalNotice,carrierCode,string,yes,4,"^\S+$",HLCU,"Code in the list provided by `carrierCodeListProvider` of the carrier publishing the Arrival Notice","Specifying attribute 'carrierCodeListProvider' requires specifying attribute 'carrierCode'."
ArrivalNotice,carrierCodeListProvider,string,yes,,,NMFTA,"The provider of the code list in which `carrierCode` is defined.
 * `SMDG` - Ship Message Design Group
 * `NMFTA` - National Motor Freight Traffic Association; includes SPLC (Standard Point Location Code)","Specifying attribute 'carrierCodeListProvider' requires specifying attribute 'carrierCode'."
ArrivalNotice,"carrierContactInformation","ContactInformation list",yes,,,,"ATTRIBUTE The party to contact for any inquiries related to this Arrival Notice.",
ArrivalNotice,"carrierInformationForCargoRelease","ContactInformation list",,,,,"The party to contact in relation to the cargo release (e.g. a shipping agency other than the POD carrier agency).",
ArrivalNotice,charges,"Charge list",,,,,"List of charges applicable to this shipment",
ArrivalNotice,consignmentItems,"ConsignmentItem list",yes,,,,"The list of consignment items in the shipment.",
ArrivalNotice,"customsImportDeclarationProcedure",string,,1000,,"The tax must be declared...","Customs import declaration procedure",
ArrivalNotice,"deliveryTypeAtDestination",string,yes,,,CY,"Code representing the delivery type offered at destination
 * `CY` - Container yard (including rail ramp)
 * `SD` - Store Door
 * `CFS` - Container Freight Station",
ArrivalNotice,documentParties,"DocumentParty list",yes,,,,"Document parties",
ArrivalNotice,freeTime,"FreeTime list",,,,,"List of free time conditions applicable to this shipment at destination",
ArrivalNotice,invoicePayableAt,Location,,,,,"Location where the customer will make the payment of ocean freight and charges for the main transport,
typically expressed as a UN/LOCODE or just a location name.",
ArrivalNotice,isElectronic,boolean,yes,,,true,"Flag indicating whether the transport document for which this arrival notice was created is electronically transferred",
ArrivalNotice,issueDate,string,yes,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The date when the Arrival Notice was issued.",
ArrivalNotice,pickupLocation,Location,,,,,"Pickup location",
ArrivalNotice,references,"Reference list",,,,,"References provided by the shipper or freight forwarder at the time of Booking or at the time of providing
Shipping Instructions. Carriers share them back when providing Track & Trace event updates, some are also printed
on the B/L. Customers can use these references to track shipments in their internal systems.",
ArrivalNotice,returnInstructions,string,,500,,"Please place the container...","Return instructions",
ArrivalNotice,returnLocation,Location,,,,,"Return location",
ArrivalNotice,termsAndConditions,string,yes,50000,,"These terms and conditions define...","Carrier terms and conditions of transport.",
ArrivalNotice,transport,Transport,yes,,,,,
ArrivalNotice,"transportDocumentReference",string,yes,20,"^\S(?:.*\S)?$",XYZ1234,"Reference of the transport document for which this arrival notice was created",
ArrivalNotice,"transportDocumentTypeCode",string,yes,,,BOL,"Type of the transport document for which this arrival notice was created
 * `BOL` - Bill of Lading
 * `SWB` - Sea Waybill",
ArrivalNotice,"utilizedTransportEquipments","UtilizedTransportEquipment list",yes,,,,"The equipments being used.",
ArrivalNotice,vesselVoyage,VesselVoyage,,,,,,
"ArrivalNoticeNotification",equipmentReferences,"string list",,,,,"References of the equipments for which this arrival notice was created",
"ArrivalNoticeNotification",etaAtPlaceOfDeliveryDate,string,,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the shipment at place of delivery",
"ArrivalNoticeNotification",etaAtPortOfDischargeDate,string,yes,,"^\d{4}-\d{2}-\d{2}$",2025-01-23,"The expected date of arrival of the vessel at the port of discharge",
"ArrivalNoticeNotification",placeOfDelivery,Location,,,,,"The location where the cargo is handed over by the shipping line to the consignee or its agent and where the
responsibility of the shipping line ceases",
"ArrivalNoticeNotification",portOfDischarge,Location,yes,,,,"The location where the cargo is discharged from the last sea-going vessel",
"ArrivalNoticeNotification","transportDocumentReference",string,yes,20,"^\S(?:.*\S)?$",XYZ1234,"Reference of the transport document for which this arrival notice was created",
"ArrivalNoticeNotificationsMessage","arrivalNoticeNotifications","ArrivalNoticeNotification list",,,,,"List of Arrival Notice lightweight notifications.",
ArrivalNoticesMessage,arrivalNotices,"ArrivalNotice list",,,,,"List of arrival notices.",
CargoItem,cargoGrossVolume,Volume,,,,,,
CargoItem,cargoGrossWeight,Weight,yes,,,,,
CargoItem,cargoNetVolume,Volume,,,,,,
CargoItem,cargoNetWeight,Weight,,,,,,
CargoItem,equipmentReference,string,yes,11,"^\S(?:.*\S)?$",APZU4812090,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible.

According to ISO 6346, a container identification code consists of a 4-letter prefix and a 7-digit number
(composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit).

If a container does not comply with ISO 6346, it is suggested to follow
[Recommendation #2: Containers with non-ISO identification](https://smdg.org/documents/smdg-recommendations)
from SMDG.",
CargoItem,outerPackaging,OuterPackaging,yes,,,,,
Charge,calculationBasis,string,yes,50,,"Per day","The code specifying the measure unit used for the corresponding unit price for this cost, such as per day, per ton,
per square metre.",
Charge,carrierRateOfExchange,string,,50,,"1.00 EUR = 1.08149 USD","The quotation of the relative value of a currency unit against the unit of another currency
in the foreign exchange market applicable to this charge item. The Carrier rate of exchange applicability
is defined based on the local jurisdiction. If not provided, the customer should refer to the ROE available
on the carrier website or the ROE defined by the competent customs authority, as per local practice.",
Charge,chargeAmount,string,yes,,"^\d+(\.\d{1,2})?$",123.45,"The monetary value of this charge, expressed with a maximum of 2 decimal digits",
Charge,chargeCurrency,string,yes,3,"^[A-Z]{3}$",EUR,"Currency code as defined by [ISO 4217](https://en.wikipedia.org/wiki/ISO_4217)",
Charge,chargeDescription,string,yes,50,,"Documentation fee - Destination","Description of the charge",
Charge,invoiceReference,string,,100,,INV51XX80YY,"Reference of the invoice towards the consignee for this shipment charge",
Charge,paymentTermCode,string,yes,,,PRE,"An indicator of whether a charge is prepaid (PRE) or collect (COL).
When prepaid, the charge is the responsibility of the shipper or the Invoice payer on behalf
of the shipper (if provided). When collect, the charge is the responsibility of the consignee
or the Invoice payer on behalf of the consignee (if provided).

 * `COL` - Collect
 * `PRE` - Prepaid",
Charge,quantity,string,yes,,"^\d+(\.\d+)?$",123.456,"The quantity of this charge item in units at `unitPrice`",
Charge,unitPrice,string,yes,,"^\d+(\.\d{1,2})?$",123.45,"The unit price of this charge item in the `chargeCurrency`, expressed with a maximum of 2 decimal digits",
ConsignmentItem,cargoItems,"CargoItem list",yes,,,,"The list of cargo items grouped in this consignment item.",
ConsignmentItem,carrierBookingReference,string,yes,35,"^\S(?:.*\S)?$",XYZ1234,"The booking number corresponding to this consignment item",
