Object,Attribute,Type,Required,Size,Pattern,Example,Description,Constraints
ActiveReeferSettings,airExchangeSetpoint,number,,,,15.4,"Target value for the air exchange rate which is the rate at which outdoor air replaces indoor air within a Reefer container",
ActiveReeferSettings,airExchangeUnit,string,,,,MQH,"The unit for `airExchange` in metrics- or imperial- units per hour
- `MQH` (Cubic metre per hour)
- `FQH` (Cubic foot per hour)

**Condition:** Mandatory to provide if `airExchange` is provided",
ActiveReeferSettings,co2Setpoint,number,,,,25,"The percentage of the controlled atmosphere CO<sub>2</sub> target value",
ActiveReeferSettings,humiditySetpoint,number,,,,95.6,"The percentage of the controlled atmosphere humidity target value",
ActiveReeferSettings,isBulbMode,boolean,,,,true,"Is special container setting for handling flower bulbs active",
ActiveReeferSettings,isColdTreatmentRequired,boolean,,,,true,"Indicator whether cargo requires cold treatment prior to loading at origin or during transit, but prior arrival at POD",
ActiveReeferSettings,"isControlledAtmosphereRequired",boolean,,,,true,"Indicator of whether cargo requires Controlled Atmosphere.",
ActiveReeferSettings,isDrainholesOpen,boolean,,,,true,"Is drain holes open on the container",
ActiveReeferSettings,isVentilationOpen,boolean,,,,true,"If `true` the ventilation orifice is `Open` - if `false` the ventilation orifice is `closed`",
ActiveReeferSettings,o2Setpoint,number,,,,25,"The percentage of the controlled atmosphere O<sub>2</sub> target value",
ActiveReeferSettings,temperatureSetpoint,number,,,,-15,"Target value of the temperature for the Reefer based on the cargo requirement.",
ActiveReeferSettings,temperatureUnit,string,,,,CEL,"The unit for temperature in Celsius or Fahrenheit

- `CEL` (Celsius)
- `FAH` (Fahrenheit)

**Condition:** Mandatory to provide if `temperatureSetpoint` is provided",
Address,city,string,,35,,Amsterdam,City,
Address,countryCode,string,,2,"^[A-Z]{2}$",NL,"The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en)

When the country code is required but not applicable, use the code `ZZ`.",
Address,floor,string,,50,,2nd,Floor,
Address,poBox,string,,20,,12345,"P.O. box",
Address,postCode,string,,10,,"1234 AB","Post code",
Address,stateRegion,string,,65,,"North Holland","State or region",
Address,street,string,,70,,"Example St.",Street,
Address,streetNumber,string,,50,,123,"Street number",
ArrivalNotice,additionalInformation,string,,500,,"FIRMS code: B986","Free text field to provide additional required information for the consignee to prepare for the shipment arrival,
e.g. additional required documents to prepare and present for shipment release - country specific.",
ArrivalNotice,"arrivalNoticeVisualization",EmbeddedDocument,,,,,,
ArrivalNotice,"cargoMovementTypeAtDestination",string,yes,,,FCL,"Code indicating whether at destination the unloaded cargo occupies an entire container (FCL)
or shares the container with other shipments (LCL).

 * `FCL` - Full Container Load
 * `LCL` - Less than Container Load",
ArrivalNotice,carrierClauses,"string list",,,,,"List of carrier clauses",
ArrivalNotice,carrierCode,string,yes,4,"^\S+$",HLCU,"Code in the list provided by `carrierCodeListProvider` of the carrier publishing the Arrival Notice","Specifying attribute 'carrierCodeListProvider' requires specifying attribute 'carrierCode'."
ArrivalNotice,carrierCodeListProvider,string,yes,,,NMFTA,"The provider of the code list in which `carrierCode` is defined.
 * `SMDG` - Ship Message Design Group
 * `NMFTA` - National Motor Freight Traffic Association; includes SPLC (Standard Point Location Code)","Specifying attribute 'carrierCodeListProvider' requires specifying attribute 'carrierCode'."
ArrivalNotice,"carrierContactInformation","ContactInformation list",yes,,,,"ATTRIBUTE The party to contact for any inquiries related to this Arrival Notice.",
ArrivalNotice,"carrierInformationForCargoRelease","ContactInformation list",,,,,"The party to contact in relation to the cargo release (e.g. a shipping agency other than the POD carrier agency).",
ArrivalNotice,charges,"Charge list",,,,,"List of charges applicable to this shipment",
ArrivalNotice,consignmentItems,"ConsignmentItem list",yes,,,,"The list of consignment items in the shipment.",
ArrivalNotice,"customsImportDeclarationProcedure",string,,1000,,"The tax must be declared...","Customs import declaration procedure",
ArrivalNotice,"deliveryTypeAtDestination",string,yes,,,CY,"Code representing the delivery type offered at destination
 * `CY` - Container yard (including rail ramp)
 * `SD` - Store Door
 * `CFS` - Container Freight Station",
ArrivalNotice,documentParties,"DocumentParty list",yes,,,,"Document parties",
ArrivalNotice,freeTime,"FreeTime list",,,,,"List of free time conditions applicable to this shipment at destination",
ArrivalNotice,isElectronic,boolean,yes,,,true,"Flag indicating whether the transport document for which this arrival notice was created is electronically transferred",
ArrivalNotice,issueDateTime,string,yes,,,2025-01-23T01:23:45Z,"The date and time when the Arrival Notice was issued.",
ArrivalNotice,label,string,,1000,,Warning,"Free text used to indicate a certain version or type of arrival notice,
for example ""Warning"", ""Updated"", ""Second"", ""Third"" etc.",
ArrivalNotice,payerCode,string,,100,,"Acme Inc.","Name identifying the entity responsible for freight payment.",
ArrivalNotice,pickupLocation,Location,,,,,,
ArrivalNotice,references,"Reference list",,,,,"References provided by the shipper or freight forwarder at the time of Booking or at the time of providing
Shipping Instructions. Carriers share them back when providing Track & Trace event updates, some are also printed
on the B/L. Customers can use these references to track shipments in their internal systems.",
ArrivalNotice,returnInstructions,string,,500,,"Please place the container...","Return instructions",
