FilterParameters,Required
"transportDocumentReferences",yes
"transportDocumentReferences, equipmentReferences",
equipmentReferences,
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, equipmentReferences",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, portOfDischarge",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselIMONumber",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselIMONumber, carrierImportVoyageNumber",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselIMONumber, carrierImportVoyageNumber, carrierServiceCode",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselIMONumber, carrierImportVoyageNumber, universalServiceReference",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselIMONumber, universalImportVoyageReference",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselIMONumber, universalImportVoyageReference, carrierServiceCode",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselIMONumber, universalImportVoyageReference, universalServiceReference",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselName",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselName, carrierImportVoyageNumber",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselName, carrierImportVoyageNumber, carrierServiceCode",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselName, carrierImportVoyageNumber, universalServiceReference",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselName, universalImportVoyageReference",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselName, universalImportVoyageReference, carrierServiceCode",
"minEtaAtPortOfDischargeDate, maxEtaAtPortOfDischargeDate, vesselName, universalImportVoyageReference, universalServiceReference",
